idiom,pinyin,explanation,originate,example,pyorder,frequency
地动山摇,dì  dòng  shēn  yáo,地震发生时大地颤动，山河摇摆。亦形容声势浩大或斗争激烈。,宋·欧阳修《欧阳文忠公集·奏议集·一二·论修河第一状》：“臣恐地动山摇，从此灾祸自此而始。”,,ddsy,63
好声好气,hǎo  shēng  hǎo  qì,形容语调柔和，态度温和。,,,hshq,63
祸福相依,huò  fú  xiāng  yī,比喻坏事可以引出好的结果，好事也可以引出坏的结果。,《老子》第五十八章：“祸兮福之所倚，福兮祸之所伏。”,,hfxy,63
弹指之间,tán  zhǐ  zhī  jiān,比喻时间极短暂。,,,tzzj,63
万世师表,wàn  shì  shī  biǎo,万世：很多世代，非常久远；师表：表率。值得永远学习的榜样。,《三国志·魏志·文帝纪》：“昔仲尼大圣之才，怀帝王之器，……可谓命世之大圣，亿载之师表者也。”,,wssb,63
细微末节,xì  wēi  mò  jié,末节：小事情，小节。无关紧要的小事情，小问题。,,,xwmj,63
心口如一,xīn  kǒu  rú  yī,心里想的和嘴里说的一样。形容诚实直爽。,清·李汝珍《镜花缘》第六十五回：“紫芝妹妹嘴虽厉害，好在心口如一，直截了当，倒是一个极爽快的。”,～，不说假话，这是做人起码应具有的品质。,xkry,63
一唱三叹,yī  chàng  sān  tàn,一个人领头唱，三个人和着唱。原指音乐和歌唱简单而质朴。后转用来形容诗婉转而含义深刻。,《礼记·乐记》：“清庙之瑟，朱弦而疏越。一唱而三叹，有遗音者矣。”《荀子·礼论》：“清庙之歌，一倡而三叹也。”,,ycst,63
一箭之遥,yī  jiàn  zhī  yáo,相当于一箭射程的距离。比喻相距不远。,明·施耐庵《水浒全传》第九十回：“宋江上得马来，前行的众头领，已去了一箭之地，见宋江和贯忠说话，都勒马伺候。”,,yjzy,63
用尽心机,yòng  jìn  xīn  jī,心机：心思。用尽了心思。,明·王世贞《鸣凤记》第四出：“若不投其所好，怎得重用？因此费尽心机，访得今日是他生日，预差人浇成一对寿烛。”,这是纵使徐懋庸之流～，也无法抹杀的。（鲁迅《且介亭杂文末编·答徐懋庸并关于抗日统一战线问题》）,yjxj,63
不相为谋,bù  xiāng  wéi  móu,谋：商量。相互之间没法商量。指彼此观点不同，不宜共同谋划事情。,《论语·卫灵公》：“道不同，不相为谋。”,多是有些闻望，含有民党性质，与政府不～。（蔡东藩、许廑父《民国通俗演义》第二十三回）,bxwm,62
才疏学浅,cái  shū  xué  qiǎn,疏：浅薄。才学不高，学识不深（多用作自谦的话）。,南朝梁·刘勰《文心雕龙·神思》：“若学浅而空迟，才疏而徒速，以斯成器，未之前闻。”明·高明《琵琶记·南浦嘱别》：“你读书思量做状元，我只怕你学疏才浅。”,在下虽有此志，只是～，年纪又轻，经练更少。（清·吴趼人《痛史》第十一回）,csxq,62
泛泛之交,fàn  fàn  zhī  jiāo,交情不深的朋友。,宋·朱熹《朱子语类》第三十八卷：“朋友交游，固有深浅，若泛然之交，一一要周旋，也不可。”,,ffzj,62
奉为至宝,fèng  wéi  zhì  bǎo,奉：信奉，敬奉；至宝：最珍贵的宝物。敬奉为最珍贵的宝物。,,,fwzb,62
浮生若梦,fú  shēng  ruò  mèng,浮生：空虚不实的人生；若：象。把人生当作短暂虚幻的梦境。,唐·李白《春夜宴从弟桃花园序》：“夫天地者，万物之逆旅也；光阴者，百代之过客也。而浮生若梦，为欢几何。”,,fsrm,62
父为子隐,fù  wéi  zǐ  yǐn,父亲为儿子隐藏劣迹。,《论语·子路》：“父为子隐，子为父隐，直在其中矣。”,彼各都忍了也波哥，因此上～，上下家和顺。（元·无名氏《九世同堂》）,fwzy,62
诲淫诲盗,huì  yín  huì  dào,原意是财物不仔细保管，招致别人来偷盗；女子打扮得十分妖艳，也是引诱别人来调戏。现指引诱人做奸淫盗窃的事。,《周易·系辞上》：“慢藏诲盗，冶容诲淫。”,“诲淫”“诲盗”只是代表统治者的利益的说话。（朱自清《论雅俗共赏》）,hyhd,62
鸡鸣狗吠,jī  míng  gǒu  fèi,鸡啼狗叫彼此都听得到。比喻聚居在一处的人口稠密。,《孟子·公孙丑上》：“鸡鸣狗吠相闻而达乎四境。”,,jmgf,62
流年似水,liú  nián  sì  shuǐ,流年：光阴。形容时间一去不复返。,明·汤显祖《牡丹亭》第十出：“则为你如花美眷，似水流年。”,,lnss,62
名缰利锁,míng  jiāng  lì  suǒ,比喻名利束缚人就象缰绳和锁链一样。,宋·柳永《夏云峰》词：“向此免名缰利锁，虚费光阴。”,我们原系方外闲人，逍遥散淡，无束无拘，又何～之不能解脱耶。（明·许仲琳《封神演义》第八十回）,mjls,62
五方杂处,wǔ  fāng  zá  chǔ,五方：东南西北中，泛指各处；处：住。形容大城市的居民，从什么地方来的人都有。,《汉书·地理志下》：“是故五方杂厝，风俗不纯。”,此国人为何生一张猪嘴？而且语音不同，倒象～一般，是何缘故？（清·李汝珍《镜花缘》第二十七回）,wfzc,62
音容宛在,yīn  róng  wǎn  zài,仿佛还听到他的声音，还看到他的容貌神情。形容对死者的想念。,,,yrwz,62
百年之好,bǎi  nián  zhī  hǎo,永久的好合。指男女结为夫妇。,清·李汝珍《镜花缘》第九四回：“忙了几时，到了重阳吉期，小峰同红蕖成了百年之好：”,,bnzh,61
别来无恙,bié  lái  wú  yàng,恙：病。分别以来一直都很好吗？常用作别后通信或重逢时的问候语。,《元曲选·冻苏秦》：“岂知你故人名望，也不问别来无恙。”,（蒋）干曰：“公瑾～？”（明·罗贯中《三国演义》第四十五回）,blwy,61
赤身露体,chì  shēn  lù  tǐ,指露出大部分身子，也指全身裸露，一丝不挂。,明·罗贯中《三国演义》第八十四回：“吴班引兵到关前搦战，耀武扬威，辱骂不绝，多有解衣卸甲，赤身露体，或睡或坐。”,她～地，石象似的站在荒野的中央。（鲁迅《颓败线的颤动》,cslt,61
来处不易,lái  chù  bù  yì,表示事情的成功或财物的取得，经过了艰苦努力。,明·朱柏庐《治家格言》：“一粥一饭，当思来处不易；半丝半缕，恒念物力维艰。”,,lcby,61
卖国求荣,mài  guó  qiú  róng,勾结投靠敌人，出卖国家的权益，谋求个人的富贵。,宋·洪迈《容斋随笔》卷六：“苏循及其子楷自谓有功于梁，当不次擢用。全忠薄其为人，以其为唐鸱枭，卖国求利，勒循致仕，斥楷归田里。”,贾似道～，请速正法。（清·吴趼人《痛史》第六回）,mgqr,61
手疾眼快,shǒu  jí  yǎn  kuài,形容机灵敏捷。,,,sjyk,61
相机而动,xiàng  jī  ér  dòng,观察时机，看到适当机会立即行动。,,,xjed,61
有凤来仪,yǒu  fèng  lái  yí,凤：凤凰，传说中的百鸟之王；仪：仪容。古时吉祥的征兆。,《尚书·益稷》：“箫韶九成，凤皇来仪。”,宝玉道：“这太板了。莫若‘～’四字。”（清·曹雪芹《红楼梦》第十七回）,yfly,61
置之死地,zhì  zhī  sǐ  dì,有意使人处于无法生存下去的境地。,《孙子·九地》：“投之亡地然后存，陷之死地然后生。”,,zzsd,61
钟鸣鼎食,zhōng  míng  dǐng  shí,钟：古代乐器；鼎：古代炊器。击钟列鼎而食。形容贵族的豪华排场。,《史记·货殖列传》：“洒削，薄技也，而郅氏鼎食。马医浅方，张里击钟。”唐·王勃《滕王阁序》：“闾阎扑地，钟鸣鼎食之家。”,谁知这样～的人家儿，如今养的子孙竟一代不如一代了。（清·曹雪芹《红楼梦》第二回）,zmds,61
白云苍狗,bái  yún  cāng  gǒu,苍：灰白色。浮云象白衣裳，顷刻又变得象苍狗。比喻事物变化不定。,唐·杜甫《可叹诗》：“天上浮云似白衣，斯须改变如苍狗。”,真是世事～，不禁感慨系之矣！（鲁迅《华盖集后记》）,bycg,60
锄强扶弱,chú  qiáng  fú  ruò,铲除强暴，扶助弱者。,,此等～的事，不是我，谁人肯做？（明·凌濛初《二刻拍案惊奇》卷十二）,cqfr,60
老于世故,lǎo  yú  shì  gù,老：老练，富有经验；世故：处世经验。指对社会上的一切有很深的阅历。,,,lysg,60
楼台亭阁,lóu  tái  tíng  gé,楼：多层建筑物；台：高而平，可供眺望的建筑物；亭：有顶无墙供游息建筑物；阁：楼房一种。统指多种供休息、游赏的建筑物。,,除了～之处，单是厅堂，就有三十八处。（清·吴趼人《二十年目睹之怪现状》第四十五回。）,lttg,60
鹊巢鸠占,què  cháo  jiū  zhàn,斑鸠不会做窠，常强占喜鹊的窠。本指女子出嫁，定居于夫家。后比喻强占别人的住处。,《诗经·召南·鹊巢》：“维雀有巢，维鸠居上。”,,qcjz,60
深信不疑,shēn  xìn  bù  yí,非常相信，没有一点怀疑。,清·蒲松龄《聊斋志异·梦狼》：“慰藉翁者，咸以为道路讹传，惟翁则深信不疑。”,,sxby,60
诗中有画,shī  zhōng  yǒu  huà,形容长于描写景物的诗，使读者如置身图画当中。也形容诗的意境非常优美。,宋·苏轼《东坡题跋·书摩诘〈蓝关烟雨图〉》：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”,,szyh,60
谈笑自若,tán  xiào  zì  ruò,自若：跟平常一样。指能平静地对待所发生的情况，说说笑笑，不改常态。,《三国志·吴书·甘宁传》：“城中士众皆惧，惟宁谈笑自若。”《后汉书·孔融传》：“融隐几读书，谈笑自若。”,上面虽有倾盆大雨淋着，我们还是～，边走边谈，愈谈愈有味。（邹韬奋《经历·初出茅庐》）,txzr,60
为善最乐,wéi  shàn  zuì  lè,做善事是最快乐的事。常用为劝人多行善事的格言。,《后汉书·东平宪王苍传》：“日者问东平王，处家何等最乐？王言为善最乐。”,,wszl,60
养虎遗患,yǎng  hǔ  yí  huàn,遗：留下；患：祸患。留着老虎不除掉，就会成为后患。比喻纵容坏人坏事，留下后患。,《史记·项羽本纪》：“楚兵罢食尽，此天亡楚之时也，不如因其机而遂取之。今释弗击，此所谓养虎遗患也。”,他非常恨陕西地方文武大员的糊涂无用，竟敢长期不明“贼情”，～。（姚雪垠《李自成》第一卷第三十二章）,yhyh,60
寓意深长,yù  yì  shēn  cháng,寄托或隐含的意思很深（多指语言文字或艺术作品）。,,,yysc,60
债多不愁,zhài  duō  bù  chóu,债欠多了反而不忧愁。比喻困难成堆，认为反正一时解除不了，也就不去愁它了。,,中政府不遑后顾，但管目前，随他如何进行，总教借款有着，便好偷安旦夕，得过且过，～。（蔡东藩、许廑父《民国通俗演义》第一一,zdbc,60
转战千里,zhuǎn  zhàn  qiān  lǐ,形容连续作战，经历了很长的历程。,汉·司马迁《报任少卿书》：“转斗千里，矢尽道穷。”《后汉书·吴汉传》：“吾共诸君逾越险阻，转战千里，所在斩获，遂深入敌地，至其城下。”,,zzql,60
百花生日,bǎi  huā  shēng  rì,旧指阴历二月十二日，即花朝。,清·秦味芸《月令粹编》卷五：“《陶朱公书》：‘二月十二日为百花生日。无雨，百花熟。’”,每年二月十二日，相传是～。（清·吴趼人《情变》第八回）,bhsr,59
辩才无碍,biàn  cái  wú  ài,碍：滞碍。本是佛教用语，指菩萨为人说法，义理通达，言辞流利，后泛指口才好，能辩论。,《华严经》“若能知法永不灭，则得辩才无障碍；若能辩才无障碍，则能开演无边法。”,这可见韵高的～，说得顽石点头了。（清·曾朴《孽海花》第十三回）,bcwa,59
不分轩轾,bù  fēn  xuān  zhì,不分高下、轻重。比喻对待二者的态度或看法差不多。,《后汉书·马援传》：“居前不能令人轾，居后不能令人轩……臣所耻也。”,但先入之言，容易见听，如果有两个人在慈禧太后心目中～，那时想起溥伦的话，关系出入就太大了。（高阳《胭脂井》）,bfxz,59
焚膏继晷,fén  gāo  jì  guǐ,膏：油脂，指灯烛；继：继续，接替；晷：日光。点上油灯，接续日光。形容勤奋地工作或读书。,唐·韩愈《进学解》：“焚膏油以继晷，恒兀兀以穷年。”,相传文人目多眚，归咎读书，～，以致损明。（清·张潮《虞初新志·三侬赘人广自序》）,fgjg,59
观者如云,guān  zhě  rú  yún,观看的人就象行云一样密集。形容围看的人非常多。,宋·张君房《云笈七签》第一百一十三卷：“言适为项王相召饮酒，欲醉方返。溪滨观者如云。”,,gzry,59
海不扬波,hǎi  bù  yáng  bō,比喻太平无事。,,,hbyb,59
积年累月,jī  nián  lěi  yuè,积年：多年；累月：连月。指经过的时间长。,北齐·颜之推《颜氏家训·后娶》：“积年累月，安有孝子乎？”,,jnly,59
即兴之作,jí  xìng  zhī  zuò,即兴：根据当时的兴致和感觉；作：作品。根据当时的感受而写成的作品。,,,jxzz,59
偏信则暗,piān  xìn  zé  àn,偏信：只听信一方面的话；暗：糊涂。只听信一方面的话，就不能明辨是非。,汉·王符《潜夫论·明暗》：“君之所以明者，兼听也；其所以暗者，偏信也。”,,pxza,59
十字街头,shí  zì  jiē  tóu,指纵横交叉、繁华热闹的街道。也借指人世间，现实社会。,,其实世界上你所深恶的和期望的，走到～，还不是一样么？（鲁迅《两地书》七八）,szjt,59
我见犹怜,wǒ  jiàn  yóu  lián,犹：尚且；怜：爱。我见了她尚且觉得可爱。形容女子容貌美丽动人。,南朝宋·虞通之《妒记》：“我见汝亦怜，何况老奴。”,此即吾家小主妇耶？～，何怪子魂思而梦绕之。（清·蒲松龄《聊斋志异·巧娘》）,wjyl,59
相形失色,xiāng  xíng  shī  sè,失色：失去光彩。和同类的事物相比较，显得大大不如。,,仙人掌终于锻炼出现在这样一种使普通植物为之～的倔强性格和卓特风貌。（秦牧《在仙人掌丛生的地方》）,xxss,59
响遏行云,xiǎng  è  xíng  yún,遏：阻止；行云：飘动的云彩。形容歌声嘹亮，高入云霄，连浮动着的云彩也被止住了。,《列子·汤问》：“抚节悲歌，声振林术，响遏行云。”,跟手又唱第二出，便是《一夜九更天》，用老生挂白须，扮老人家，唱过岭时，全用高字，真是～。（清·黄小配《廿载繁华梦》第八回,xexy,59
霄壤之别,xiāo  rǎng  zhī bié,天和地，一极在上，一级在下，比喻差别极大。,《抱朴子·内篇·论仙》：“趋舍所尚，耳目之欲，其为不同，已有天壤之觉（较），冰炭之乖矣。”,比起先前用皂荚时候的只有一层极薄的白沫来，那高底真有～了。（鲁迅《彷徨·肥皂》）,xrzb,59
小不忍则乱大谋,xiǎo  bù  rěn  zé  luàn  dà  móu,小事不忍耐就会坏了大事。,《论语·卫灵公》：“巧言乱德，小不忍则乱大谋。”,,xbrm,59
用兵如神,yòng  bīng  rú  shén,调兵遣将如同神人。形容善于指挥作战。,明·施耐庵《水浒全传》第五十九回：“为头一个先生，姓樊，名瑞，绰号混世魔王，能呼风唤雨，用兵如神。”,三国时期的诸葛亮神机妙算，～。,ybrs,59
横行天下,héng  xíng  tiān  xià,横行：纵横驰骋，毫无阻挡。形容遍行天下，有受阻碍。亦形容东征西战，到处称强，没有敌手。,《荀子·修身》：“体恭敬而心忠信，术礼义而情爱人，横行天下，虽困四夷，人莫不贵。”,,hxtx,58
翩若惊鸿,piān  ruò  jīng  hóng,比喻美女的体态轻盈。,三国魏·曹植《洛神赋》：“（洛神）其形也，翩若惊鸿，婉若游龙。”,正在绳子忽低忽昂的走来走去，大有娇若游龙，～之势。（清·曾朴《孽海花》第六回）,prjh,58
敲骨吸髓,qiāo  gǔ  xī  suǐ,敲碎骨头来吸骨髓。比喻剥削压榨极其残酷。,宋·释普济《五灯会元》卷一：“昔人求道，敲骨吸髓，刺血济饥。”,,qgxs,58
如丧考妣,rú  sàng  kǎo  bǐ,丧：死去；考：已死的父亲；妣：已死的母亲。好象死了父母一样地伤心。,《尚书·舜典》：“二十有八载，帝乃殂落，百姓如丧考妣。”,,rskb,58
无敌于天下,wú  dí  yú  tiān  xià,天下都没有对手。形容力量强大无比。,《孟子·公孙丑上》：“无敌于天下者，天吏也。”,,wdyx,58
有口无心,yǒu  kǒu  wú  xīn,嘴上说了，心里可没那样想。指不是有心说的。,清·张南庄《何典·序》：“总属有口无心，安用设身处地。”,大爷快别动气，咱是个～的人，不会说话。（清·李宝嘉《活地狱》第二回）,ykwx,58
正直无私,zhèng  zhí  wú  sī,为人做事很正直，没有任何私心。,《左传·庄公三十二年》：“神，聪明正直而壹者也。”孔颖达疏：“襄七年传曰：‘正直为正，正曲为直。’言正者能自正，直者能正人曲，而壹者言其一心不二也。”,朝内官员皆惧秦桧，无处与岳元帅伸冤，那阴间神道，～，必有报应。”（清·钱彩《说岳全传》第六十九回）,zzws,58
避实击虚,bì  shí  jī  xū,指避开敌人的主力，找敌人的弱点进攻。又指谈问题回避要害。,《孙子·虚实》：“兵之形，避实而击虚。”,,bsjx,57
出将入相,chū  jiàng  rù  xiàng,出征可为将帅，入朝可为丞相。指兼有文武才能的人，也指文武职位都很高。,唐·崔颢《江畔老人愁》诗：“两朝出将复入相，五世迭鼓乘朱轮。”,当下姑娘脸上的那番得意，漫说～，八座三台，大约立刻叫她出将入相，升成佛天，她也不换。（清·文康《儿女英雄传》第七回）,cjrx,57
凤凰于飞,fèng  huáng  yú  fēi,本指凤和凰相偕而飞。比喻夫妻和好恩爱。常用以祝人婚姻美满。,《诗经·大雅·卷阿》：“凤凰于飞，翙翙其羽。”,,fhyf,57
衮衮诸公,gǔn  gǔn  zhū  gōng,衮衮：相继不绝。旧指身居高位而无所作为的官僚们。,唐·杜甫《醉时歌》：“诸公衮衮登台省， 广文先生官独冷。”,国民党的～管我们这些穷学生的什么“宣言”、“上书”！（杨沫《青春之歌》第二部第三十六章）,ggzg,57
口蜜腹剑,kǒu  mì  fù  jiàn,形容两面派的狡猾阴险。,《资治通鉴·唐纪·玄宗天宝元年》：“世谓李林甫‘口有蜜，腹有剑’。”,这厮～，正所为慝怨而友者也。（明·王世桢《鸣凤记》第二十五出）,kmfj,57
烈火见真金,liè  huǒ  jiàn  zhēn  jīn,真金是不怕烈火烧的，所以只有在烈火中才能鉴别出是不是真金。比喻在关键时刻最能考验人。,,,lhjj,57
略高一筹,lüè  gāo  yī  chóu,筹：筹码，记数用具。略微超过一个码。形容双方比较，稍强一些。,,小生所以忝出君上者，以起处数语，略高一筹耳。（清·蒲松龄《聊斋志异·辛十四娘》）,lgyc,57
明眸善睐,míng  móu  shàn  lài,形容女子的眼睛明亮而灵活。,三国魏·曹植《洛神赋》：“丹唇外朗，皓齿内鲜，明眸善睐，靥辅承权。”,,mmsl,57
披沙拣金,pī  shā  jiǎn  jīn,拨开沙子来挑选金子。比喻从大量的东西中选取精华。,唐·刘知己《史通·直书》：“然则历考前史，征诸直词，虽古人糟粕，真伪相乱，而披沙拣金，有时获宝。”,～，所获甚尠。（清·陶曾佑《中国文学之概观》）,psjj,57
七窍生烟,qī  qiào  shēng  yān,七窍：口和两眼、两耳、两鼻孔。气愤得好象耳目口鼻都要冒出火来。形容气愤到极点。,清·黄小配《廿载繁华梦》第三回：“说罢，悻悻然转出来。把邓氏气得七窍生烟，觉得脑中一涌，喉里作动，旋吐出鲜血来。”,,qqsy,57
人寿年丰,rén  shòu  nián  fēng,人长寿，年成也好。形容太平兴旺的景象。,,好在这些年，年年都有好收成。真真是～，喜事重重。（郭沫若《蔡文姬》第五幕）,rsnf,57
送往迎来,sòng  wǎng  yíng  lái,走的欢送，来的欢迎。形容忙于交际应酬。,《庄子·山木》：“其送往而迎来，来者勿禁，往者勿止。”,况且他们来的是客，你我有地主之谊，书上还说～。（清·李宝嘉《文明小史》第一回）,swyl,57
血口喷人,xuè  kǒu  pēn  rén,比喻用恶毒的话污蔑或辱骂别人。,宋·晓莹《罗湖野录》卷二：“含血喷人，先污其口；百丈野狐，失头狂走。”,她镇静起来，从炕上摸起一件上衣往身上披，用生硬的口吻说：“你别～！你，你不安好心……”（冯德英《苦菜花》第三章）,xkpr,57
衣冠禽兽,yī  guān  qín  shòu,穿戴着衣帽的禽兽。指品德极坏，行为象禽兽一样卑劣的人。,清·李汝珍《镜花缘》第四十三回：“既是不孝，所谓衣冠禽兽，要那才女又有何用。”,,ygqs,57
刀山火海,dāo  shān  huǒ  hǎi,比喻极其危险和困难的地方。,,此刻，面前即使横着～，我们也必须打过去。（刘伯承《千里跃进大别山》）,dshh,56
奸淫掳掠,jiān  yín  lǔ  lüè,奸淫妇女，掠夺财物。,清·吴趼人《痛史》第七回：“谁知仍是强赊硬抢，掳掠奸淫，无所不至。”,,jyll,56
刻骨仇恨,kè  gǔ  chóu  hèn,永记心头的深仇大恨。,,战士们热血沸腾，跃出战壕，怀着对阶级敌人的～，杀声震天，与数倍于我之敌展开白刃格斗。（穆欣《北线凯歌》三十）,kgch,56
柳绿花红,liǔ  lǜ  huā  hóng,形容明媚的春天景象。也形容颜色鲜艳纷繁。,五代蜀·魏承班《生查子》词：“花红柳绿间晴空。”,秋至山寒水冷，春来～。（宋·释普济《五灯会元》卷八）,llhh,56
平地一声雷,píng  dì  yī  shēng  léi,比喻突然发生的重大变动。也比喻名声或地位突然升高。,五代·前蜀·韦庄《喜迁莺》：“凤衔金榜出门来，平地一声雷。”,虽然是运不齐，他可也志不灰。只等待桃花浪暖蛰龙飞，～。（元·无名氏《举案齐眉》第三折）,pdyl,56
死不足惜,sǐ  bù  zú  xī,足：值得；惜：吝惜或可惜。形容不怕死或死得没有价值。,《宋史·苏洵传》：“善用兵者使之无所顾，有所恃。无所顾则知死之不足惜，有所恃则知不至于必败。”,妾一身～，但自蒙爱幸，身怀六甲，已两月矣。（明·冯梦龙《东周列国志》第二回）,sbzx,56
摇尾乞怜,yáo  wěi  qǐ  lián,狗摇着尾巴向主人乞求爱怜。比喻装出一副可怜相向人讨好。,唐·韩愈《应科目时与人书》：“若俯首帖耳、摇尾而乞怜者，非我之志也。”,,ywql,56
一片冰心,yī  piàn  bīng  xīn,冰心：清洁的心。形容性情淡泊，不求名利。,唐·王昌龄《芙蓉楼送辛渐》诗：“洛阳亲友如相问，一片冰心在玉壶。”,,ypbx,56
大仁大义,dà  rén  dà  yì,形容为人宽厚，尊崇仁义。,明·罗贯中《三国演义》第四十三回：“至于刘琮降（曹）操，豫州（刘备）实不知；且又忍乘乱夺同宗之基业，此真大仁大义也。”,,drdy,55
夫子自道,fū  zǐ  zì  dào,指本意是说别人好处，而事实上却正道着了自己。也用在不好的一面，意思是指摘别人，却正指摘了自己。,《论语·宪问》：“子曰：‘君子有道者三，我无能焉；仁者不忧，智者不惑，勇者不惧。’子贡曰：‘夫子自道也。’”,就在那一年所做的《湘累》，实际上就是“～”。（郭沫若《学生时代·创造十年》）,fzzd,55
狗头军师,gǒu  tóu  jūn  shī,比喻爱给人出主意而主意又不高明的人。也比喻专门出坏主意的人。,,,gtjs,55
佶屈聱牙,jí  qū  áo  yá,佶屈：曲折；聱牙：不顺口。指文章读起来不顺口。,唐·韩愈《进学解》：“周浩殷盘，佶屈聱牙。”,有些文字，尤其是所谓直译的文字，写得～。（邹韬奋《经历·课外阅读》）,jqay,55
救民于水火,jiù　mín　yú　shuǐ　huǒ,把人民从深重的灾难中拯救出来。,《孟子·滕文公下》： “救民于水火之中，取其残而已矣。”,,jmyh,55
决一雌雄,jué  yī  cí  xióng,雌雄：比喻高低、胜负。指较量一下胜败高低。,《史记·项羽本纪》：“天下匈奴数岁者，徒以吾两人耳，愿与汉王挑战，决雌雄，毋徒苦天下之民父子为也。”,,jycx,55
哭天抹泪,kū  tiān  mǒ  lèi,形容哭哭啼啼。,,,ktml,55
笼中之鸟,lóng  zhōng  zhī  niǎo,比喻受困而不自由的人，也比喻易于擒拿的敌人。,《鹖冠子·世兵》：“一目之罗，不可以得雀；笼中之鸟空窥不出。”,,lzzn,55
绿肥红瘦,lǜ  féi  hóng  shòu,绿叶茂盛，花渐凋谢。指暮春时节。也形容春残的景象。,宋·李清照《如梦令》词：“知否知否，应是绿肥红瘦。”,,lfhs,55
民胞物与,mín  bāo  wù  yǔ,民为同胞，物为同类。泛指爱人和一切物类。,宋·张载《西铭》：“民吾同胞，物吾与也。”,那里有一个是认真存了“仁人测隐”之心，行他那“～”的志向，不过都是在那里邀福。（清·吴趼人《二十年目睹之怪现状》第十五回,mbwy,55
驽马十驾,nú  mǎ  shí  jià,原意是骏马一天的路程，驽马虽慢，但努力不懈，走十天也可以到达。比喻智力低的人只要刻苦学习，也能追上资质高的人。,《荀子·劝学》：“骐骥一跃，不能十步；驽马十；驾，功在不舍。”,,nmsj,55
穷奢极侈,qióng  shē  jí  chǐ,穷：极；奢、侈：奢侈。极端奢侈，尽量享受。形容挥霍浪费，荒淫腐化。,《后汉书·陆康传》：“末世衰主，穷奢极侈。”,,qsjc,55
神思恍惚,shén  sī  huǎng  hū,神思：精神，心绪；恍惚：神智不清。指心神不定，精神不集中。,元·杨显之《潇湘雨》第四折：“一者是心中不足，二者是神思恍惚，恰合眼父子相逢，正数说当年间阻，忽然的好梦惊回。”,,sshh,55
硕大无朋,shuò  dà  wú  péng,硕：大；朋：比。大得没有可以与之相比的。形容极大。,《诗经·唐风·椒聊》：“椒聊之实，蕃衍盈升。彼其之子，硕大无朋。”,这只南瓜重达２００余斤，真是～。,sdwp,55
铁壁铜墙,tiě  bì  tóng  qiáng,比喻十分坚固，不可摧毁的事物。,元·无名氏《谢金梧》楔子：“随他铜墙铁壁，也不怕不拆倒了他的。”,,tbtq,55
无可无不可,wú  kě  wú  bù  kě,表示怎样办都行，没有一定的主见。,《论语·微子》：“我则异于是，是无可无不可。”,薛姨妈是个～的人，倒还易说。（清·曹雪芹《红楼梦》第五十七回）,wkwk,55
徐娘半老,xú  niáng  bàn  lǎo,指尚有风韵的中年妇女。,《南史·后妃传下》：“徐娘虽老，犹尚多情。”,,xnbl,55
扬幡招魂,yáng  fān  zhāo  hún,挂幡招回死者的灵魂（迷信）。比喻想使已经被清除的的坏人再恢复活动。,,,yfzh,55
走为上计,zǒu  wèi  shàng  jì,遇到强敌或陷于困境时，以离开回避为最好的策略。,《南齐书·王敬则传》：“檀公三十六策，走是上计。”,,zwsj,55
八字没一撇,bā  zì  méi  yī  piě,比喻事情还没有眉目。,《通俗常言疏证》卷三： “《通俗编》：‘朱子《与刘子澄书》：圣贤已是八字打开了，人不自领会。’按今有‘八字不见两撇’之谚，似又因于此。凡事无端绪者，谓之八字不曾见两撇。”,我们是来保卫延安的，～，延安就能放弃？（杜鹏程《保卫延安》）,bzmp,54
百读不厌,bǎi  dú  bù  yàn,厌：厌烦，厌倦。读一百遍也不会感到厌烦。形容诗文或书籍写得非常好，不论读多少遍也不感到厌倦。,宋·苏轼《送安惇秀才失解西归》诗：“旧书不厌百回读，熟读深思子自知。”,《三国演义》、《西游记》、《红楼梦》、《水浒》等，都是令人～的古典文学名著。,bdby,54
饱暖思淫欲,bǎo  nuǎn  sī  yín  yù,食饱衣暖之时，则生淫欲之心。,,自古道：“～”，王禄手头饶裕，又见财物易得，便思量淫荡起来。（明·凌濛初《二刻拍案惊奇》卷二十一）,bnsy,54
藏头露尾,cáng  tóu  lù  wěi,藏起了头，露出了尾。形容说话躲躲闪闪，不把真实情况全部讲出来。,元·张可久《点绛唇·翻归去来辞》套曲：“早休官弃职，远红尘是非，省藏头露尾。”,况一挂上人家的假招牌，便有许多面子来拘束你，使你不得不～；寻欢作乐，如何能称心适意！（清·曾朴《孽海花》第三十回）,ctlw,54
草草收兵,cǎo  cǎo  shōu  bīng,马马虎虎地就收了兵。比喻工作不负责任，不细致，不慎重。,,,ccsb,54
得意之色,dé  yì  zhī  sè,得意：称心如意。因非常称心如意而露出傲慢的神色。,,血的游戏已经开头，而角色又是青年，并且有～。（鲁迅《书信集·答有恒先生》）,dyzs,54
刁钻古怪,diāo  zuān  gǔ guài,刁钻：狡诈；古怪：怪僻，不同寻常。形容为人行事狡猾怪僻，和别人不一样。,,你看古人中，那里有那些～的题目和那极险的韵？（清·曹雪芹《红楼梦》第三十七回）,dzgg,54
